cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X120703408789411.N,X120703408789411_X_.N,2,X120703408789411.N,Pro-angiogenesis Macrophage,N
X120703408793835.N,X120703408793835_X_.N,8,X120703408793835.N,Non Blood Cell,N
X120703408884123.T,X120703408884123_Y_.T,1,X120703408884123.T,Exhausted CD8+ T cells,T
X120703409145716.N,X120703409145716_X_.N,0,X120703409145716.N,Effector/Memory CD4+ T cells,N
X120703409339181.N,X120703409339181_X_.N,1,X120703409339181.N,MAIT cells,N
X120703409379676.N,X120703409379676_X_.N,3,X120703409379676.N,Pro-angiogenesis Macrophage,N
X120703409407854.N,X120703409407854_X_.N,13,X120703409407854.N,Lung Cancer Cell,N
X120703409633700.T,X120703409633700_Y_.T,1,X120703409633700.T,Effector/Memory CD8+ T cells,T
X120703423507166.T,X120703423507166_Y_.T,6,X120703423507166.T,Natural killer cell,T
X120703423561070.T,X120703423561070_Y_.T,1,X120703423561070.T,Exhausted CD8+ T cells,T
X120703436049252.N,X120703436049252_X_.N,3,X120703436049252.N,Pro-angiogenesis Macrophage,N
X120703436154804.N,X120703436154804_X_.N,2,X120703436154804.N,Pro-angiogenesis Macrophage,N
X120703436306869.T,X120703436306869_Y_.T,5,X120703436306869.T,B Cell,T
X120703436372403.N,X120703436372403_X_.N,3,X120703436372403.N,Pro-angiogenesis Macrophage,N
X120703436647203.N,X120703436647203_X_.N,8,X120703436647203.N,Lung Cancer Cell,N
X120703455743211.T,X120703455743211_Y_.T,0,X120703455743211.T,CD4+ T cell,T
X120726896962357.N,X120726896962357_X_.N,2,X120726896962357.N,Pro-angiogenesis Macrophage,N
X120726896989916.N,X120726896989916_X_.N,4,X120726896989916.N,Pro-angiogenesis Macrophage,N
X120726897248046.N,X120726897248046_X_.N,3,X120726897248046.N,Pro-angiogenesis Macrophage,N
X120726897408947.N,X120726897408947_X_.N,4,X120726897408947.N,Macrophage,N
X120726897449332.T,X120726897449332_Y_.T,0,X120726897449332.T,Effector/Memory CD8+ T cells,T
X120726912190189.N,X120726912190189_X_.N,3,X120726912190189.N,Pro-angiogenesis Macrophage,N
X120726924249974.N,X120726924249974_X_.N,6,X120726924249974.N,Natural killer cell,N
X120726924519771.T,X120726924519771_Y_.T,4,X120726924519771.T,Pro-angiogenesis Macrophage,T
X120726924942069.N,X120726924942069_X_.N,0,X120726924942069.N,Effector/Memory CD4+ T cells,N
X120726925012253.T,X120726925012253_Y_.T,1,X120726925012253.T,CD8+ T cell,T
X120726943030638.T,X120726943030638_Y_.T,2,X120726943030638.T,Macrophage,T
X120726943062310.T,X120726943062310_Y_.T,5,X120726943062310.T,B Cell,T
X120726943128414.N,X120726943128414_X_.N,3,X120726943128414.N,Pro-angiogenesis Macrophage,N
