"cluster","tissue","cell_type","count","total","percent"
"0","N","Any Cell",0,682,0
"0","N","Effector/Memory CD8+ T cells",34,682,4.99
"0","N","T or NK Cell",7,682,1.03
"0","N","pDC",0,682,0
"0","N","MAIT cells",0,682,0
"0","N","T regulatory cells",5,682,0.73
"0","N","Exhausted CD8+ T cells",0,682,0
"0","N","CD4 or CD8 T cell",12,682,1.76
"0","N","Blood Cell",97,682,14.22
"0","N","LAMP3 cDC",0,682,0
"0","N","CD4+ T cell",3,682,0.44
"0","N","Normal Tissue Cell",0,682,0
"0","N","Naive CD8+ T cells",0,682,0
"0","N","CD8 T or NK cell",3,682,0.44
"0","N","Pancreatic Cancer Cell",0,682,0
"0","N","CD8+ T cell",2,682,0.29
"0","N","B Cell",0,682,0
"0","N","Endothelial Cells",1,682,0.15
"0","N","cDC1",0,682,0
"0","N","Phagocytosis Macrophage",0,682,0
"0","N","Mast cell",0,682,0
"0","N","Tfh/Th1 helper CD4+ T cells",0,682,0
"0","N","Pro-angiogenesis Macrophage",5,682,0.73
"0","N","Naive CD4+ T cells",41,682,6.01
"0","N","CAFadi",0,682,0
"0","N","Lung Cancer Cell",2,682,0.29
"0","N","CAFmyo",0,682,0
"0","N","CAFinfla",0,682,0
"0","N","Natural killer cell",5,682,0.73
"0","N","Cancer Associated Fibroblasts",0,682,0
"0","N","cDC2",0,682,0
"0","N","Non Blood Cell",0,682,0
"0","N","B cell or Plasmablast",0,682,0
"0","N","Dendritic Cell",0,682,0
"0","N","Pro-inflammatory Macrophage",0,682,0
"0","N","Non Stromal Cell",0,682,0
"0","N","Effector/Memory CD4+ T cells",463,682,67.89
"0","N","Macrophage",1,682,0.15
"0","N","Normal Fibroblast",0,682,0
"0","N","Macrophage or Dendritic Cell",1,682,0.15
"0","N","Stromal Cell",0,682,0
"0","T","Any Cell",0,1086,0
"0","T","Effector/Memory CD8+ T cells",130,1086,11.97
"0","T","T or NK Cell",1,1086,0.09
"0","T","pDC",0,1086,0
"0","T","MAIT cells",0,1086,0
"0","T","T regulatory cells",177,1086,16.3
"0","T","Exhausted CD8+ T cells",6,1086,0.55
"0","T","CD4 or CD8 T cell",65,1086,5.99
"0","T","Blood Cell",23,1086,2.12
"0","T","LAMP3 cDC",0,1086,0
"0","T","CD4+ T cell",473,1086,43.55
"0","T","Normal Tissue Cell",0,1086,0
"0","T","Naive CD8+ T cells",1,1086,0.09
"0","T","CD8 T or NK cell",4,1086,0.37
"0","T","Pancreatic Cancer Cell",0,1086,0
"0","T","CD8+ T cell",51,1086,4.7
"0","T","B Cell",2,1086,0.18
"0","T","Endothelial Cells",0,1086,0
"0","T","cDC1",0,1086,0
"0","T","Phagocytosis Macrophage",0,1086,0
"0","T","Mast cell",0,1086,0
"0","T","Tfh/Th1 helper CD4+ T cells",70,1086,6.45
"0","T","Pro-angiogenesis Macrophage",1,1086,0.09
"0","T","Naive CD4+ T cells",10,1086,0.92
"0","T","CAFadi",0,1086,0
"0","T","Lung Cancer Cell",0,1086,0
"0","T","CAFmyo",0,1086,0
"0","T","CAFinfla",0,1086,0
"0","T","Natural killer cell",3,1086,0.28
"0","T","Cancer Associated Fibroblasts",0,1086,0
"0","T","cDC2",0,1086,0
"0","T","Non Blood Cell",0,1086,0
"0","T","B cell or Plasmablast",0,1086,0
"0","T","Dendritic Cell",0,1086,0
"0","T","Pro-inflammatory Macrophage",0,1086,0
"0","T","Non Stromal Cell",0,1086,0
"0","T","Effector/Memory CD4+ T cells",69,1086,6.35
"0","T","Macrophage",0,1086,0
"0","T","Normal Fibroblast",0,1086,0
"0","T","Macrophage or Dendritic Cell",0,1086,0
"0","T","Stromal Cell",0,1086,0
"1","N","Blood Cell",2,393,0.51
"1","N","Natural killer cell",26,393,6.62
"1","N","Normal Tissue Cell",0,393,0
"1","N","Tfh/Th1 helper CD4+ T cells",0,393,0
"1","N","Non Blood Cell",0,393,0
"1","N","Naive CD8+ T cells",0,393,0
"1","N","B Cell",0,393,0
"1","N","CD4 or CD8 T cell",30,393,7.63
"1","N","cDC2",0,393,0
"1","N","Effector/Memory CD8+ T cells",177,393,45.04
"1","N","CAFadi",0,393,0
"1","N","Dendritic Cell",0,393,0
"1","N","Any Cell",0,393,0
"1","N","B cell or Plasmablast",0,393,0
"1","N","Pancreatic Cancer Cell",0,393,0
"1","N","T or NK Cell",3,393,0.76
"1","N","MAIT cells",2,393,0.51
"1","N","Endothelial Cells",0,393,0
"1","N","T regulatory cells",0,393,0
"1","N","Mast cell",0,393,0
"1","N","Non Stromal Cell",0,393,0
"1","N","Pro-inflammatory Macrophage",0,393,0
"1","N","Naive CD4+ T cells",0,393,0
"1","N","CD4+ T cell",0,393,0
"1","N","Macrophage",0,393,0
"1","N","CAFmyo",0,393,0
"1","N","CAFinfla",0,393,0
"1","N","Effector/Memory CD4+ T cells",129,393,32.82
"1","N","Cancer Associated Fibroblasts",0,393,0
"1","N","Exhausted CD8+ T cells",0,393,0
"1","N","pDC",0,393,0
"1","N","Macrophage or Dendritic Cell",0,393,0
"1","N","Normal Fibroblast",0,393,0
"1","N","Stromal Cell",0,393,0
"1","N","CD8+ T cell",0,393,0
"1","N","CD8 T or NK cell",24,393,6.11
"1","N","Lung Cancer Cell",0,393,0
"1","N","cDC1",0,393,0
"1","N","Phagocytosis Macrophage",0,393,0
"1","N","LAMP3 cDC",0,393,0
"1","N","Pro-angiogenesis Macrophage",0,393,0
"1","T","Blood Cell",0,861,0
"1","T","Natural killer cell",1,861,0.12
"1","T","Normal Tissue Cell",0,861,0
"1","T","Tfh/Th1 helper CD4+ T cells",22,861,2.56
"1","T","Non Blood Cell",0,861,0
"1","T","Naive CD8+ T cells",0,861,0
"1","T","B Cell",0,861,0
"1","T","CD4 or CD8 T cell",48,861,5.57
"1","T","cDC2",0,861,0
