"cluster","tissue","cell_type","N","total","percent"
0,"N","Blood Cell",97,682,14.22
0,"N","CD8 T or NK cell",3,682,0.44
0,"N","CD4 or CD8 T cell",12,682,1.76
0,"N","CD4+ T cell",3,682,0.44
0,"N","Macrophage or Dendritic Cell",1,682,0.15
0,"N","Naive CD4+ T cells",41,682,6.01
0,"N","CD8+ T cell",2,682,0.29
0,"N","Natural killer cell",5,682,0.73
0,"N","Effector/Memory CD4+ T cells",463,682,67.89
0,"N","Pro-angiogenesis Macrophage",5,682,0.73
0,"N","Effector/Memory CD8+ T cells",34,682,4.99
0,"N","T or NK Cell",7,682,1.03
0,"N","Endothelial Cells",1,682,0.15
0,"N","T regulatory cells",5,682,0.73
0,"N","Lung Cancer Cell",2,682,0.29
0,"N","Macrophage",1,682,0.15
0,"T","B Cell",2,1086,0.18
0,"T","Effector/Memory CD8+ T cells",130,1086,11.97
0,"T","Blood Cell",23,1086,2.12
0,"T","Exhausted CD8+ T cells",6,1086,0.55
0,"T","CD4 or CD8 T cell",65,1086,5.99
0,"T","Tfh/Th1 helper CD4+ T cells",70,1086,6.45
0,"T","CD4+ T cell",473,1086,43.55
0,"T","Natural killer cell",3,1086,0.28
0,"T","CD8 T or NK cell",4,1086,0.37
0,"T","Naive CD8+ T cells",1,1086,0.09
0,"T","CD8+ T cell",51,1086,4.7
0,"T","T or NK Cell",1,1086,0.09
0,"T","Effector/Memory CD4+ T cells",69,1086,6.35
0,"T","Pro-angiogenesis Macrophage",1,1086,0.09
0,"T","T regulatory cells",177,1086,16.3
0,"T","Naive CD4+ T cells",10,1086,0.92
1,"N","Blood Cell",2,393,0.51
1,"N","CD4 or CD8 T cell",30,393,7.63
1,"N","T or NK Cell",3,393,0.76
1,"N","Effector/Memory CD4+ T cells",129,393,32.82
1,"N","CD8 T or NK cell",24,393,6.11
1,"N","Effector/Memory CD8+ T cells",177,393,45.04
1,"N","MAIT cells",2,393,0.51
1,"N","Natural killer cell",26,393,6.62
1,"T","CD8+ T cell",157,861,18.23
1,"T","CD4+ T cell",12,861,1.39
1,"T","Effector/Memory CD8+ T cells",173,861,20.09
1,"T","Exhausted CD8+ T cells",437,861,50.75
1,"T","Effector/Memory CD4+ T cells",5,861,0.58
1,"T","CD8 T or NK cell",3,861,0.35
1,"T","Natural killer cell",1,861,0.12
1,"T","CD4 or CD8 T cell",48,861,5.57
1,"T","T or NK Cell",1,861,0.12
1,"T","T regulatory cells",1,861,0.12
1,"T","Tfh/Th1 helper CD4+ T cells",22,861,2.56
1,"T","pDC",1,861,0.12
2,"N","Macrophage",23,886,2.6
2,"N","Pro-angiogenesis Macrophage",836,886,94.36
2,"N","Phagocytosis Macrophage",27,886,3.05
2,"T","Macrophage or Dendritic Cell",2,251,0.8
2,"T","Phagocytosis Macrophage",155,251,61.75
2,"T","Macrophage",88,251,35.06
2,"T","Pro-angiogenesis Macrophage",6,251,2.39
3,"N","Macrophage",9,734,1.23
3,"N","Pro-angiogenesis Macrophage",725,734,98.77
3,"T","Macrophage",32,62,51.61
3,"T","Phagocytosis Macrophage",13,62,20.97
3,"T","Pro-angiogenesis Macrophage",17,62,27.42
4,"N","Any Cell",4,366,1.09
4,"N","Naive CD4+ T cells",22,366,6.01
4,"N","Blood Cell",20,366,5.46
4,"N","Effector/Memory CD8+ T cells",2,366,0.55
4,"N","Phagocytosis Macrophage",19,366,5.19
4,"N","Effector/Memory CD4+ T cells",1,366,0.27
4,"N","Natural killer cell",3,366,0.82
4,"N","Macrophage",128,366,34.97
4,"N","Pro-angiogenesis Macrophage",167,366,45.63
4,"T","B Cell",13,394,3.3
4,"T","CD4+ T cell",16,394,4.06
4,"T","Effector/Memory CD8+ T cells",4,394,1.02
4,"T","Exhausted CD8+ T cells",1,394,0.25
4,"T","Macrophage or Dendritic Cell",1,394,0.25
4,"T","Any Cell",6,394,1.52
4,"T","Naive CD4+ T cells",4,394,1.02
4,"T","Blood Cell",53,394,13.45
4,"T","Non Blood Cell",1,394,0.25
4,"T","CD4 or CD8 T cell",6,394,1.52
4,"T","Phagocytosis Macrophage",74,394,18.78
4,"T","Macrophage",207,394,52.54
4,"T","Pro-angiogenesis Macrophage",8,394,2.03
5,"N","Pro-angiogenesis Macrophage",9,27,33.33
5,"N","Macrophage",2,27,7.41
